iteracion,trabajoMinimo,trabajoMaximo,trabajoPromedio,desbalance,solicitudesRemotas,bytesComunicados
1,3370542,3370542,3370542.000,1.000000000,0,0
2,2697520,2697520,2697520.000,1.000000000,0,0
3,2403104,2403104,2403104.000,1.000000000,0,0
4,2234650,2234650,2234650.000,1.000000000,0,0
5,2125672,2125672,2125672.000,1.000000000,0,0
6,2049197,2049197,2049197.000,1.000000000,0,0
7,1991431,1991431,1991431.000,1.000000000,0,0
8,1945574,1945574,1945574.000,1.000000000,0,0
9,1907793,1907793,1907793.000,1.000000000,0,0
10,1875800,1875800,1875800.000,1.000000000,0,0
11,1847903,1847903,1847903.000,1.000000000,0,0
12,1823024,1823024,1823024.000,1.000000000,0,0
13,1800820,1800820,1800820.000,1.000000000,0,0
14,1780692,1780692,1780692.000,1.000000000,0,0
15,1762300,1762300,1762300.000,1.000000000,0,0
16,1745562,1745562,1745562.000,1.000000000,0,0
17,1730120,1730120,1730120.000,1.000000000,0,0
18,1715766,1715766,1715766.000,1.000000000,0,0
19,1702478,1702478,1702478.000,1.000000000,0,0
20,1690306,1690306,1690306.000,1.000000000,0,0
21,1679310,1679310,1679310.000,1.000000000,0,0
22,1669257,1669257,1669257.000,1.000000000,0,0
23,1660335,1660335,1660335.000,1.000000000,0,0
24,1652297,1652297,1652297.000,1.000000000,0,0
25,1645570,1645570,1645570.000,1.000000000,0,0
26,1639665,1639665,1639665.000,1.000000000,0,0
27,1634711,1634711,1634711.000,1.000000000,0,0
28,1630580,1630580,1630580.000,1.000000000,0,0
29,1627083,1627083,1627083.000,1.000000000,0,0
30,1624058,1624058,1624058.000,1.000000000,0,0
31,1621591,1621591,1621591.000,1.000000000,0,0
32,1619416,1619416,1619416.000,1.000000000,0,0
33,1617532,1617532,1617532.000,1.000000000,0,0
34,1615823,1615823,1615823.000,1.000000000,0,0
35,1614460,1614460,1614460.000,1.000000000,0,0
36,1613204,1613204,1613204.000,1.000000000,0,0
37,1612058,1612058,1612058.000,1.000000000,0,0
38,1611025,1611025,1611025.000,1.000000000,0,0
39,1610070,1610070,1610070.000,1.000000000,0,0
40,1609312,1609312,1609312.000,1.000000000,0,0
41,1608659,1608659,1608659.000,1.000000000,0,0
42,1608018,1608018,1608018.000,1.000000000,0,0
43,1607469,1607469,1607469.000,1.000000000,0,0
44,1607020,1607020,1607020.000,1.000000000,0,0
45,1606627,1606627,1606627.000,1.000000000,0,0
46,1606301,1606301,1606301.000,1.000000000,0,0
47,1605957,1605957,1605957.000,1.000000000,0,0
48,1605624,1605624,1605624.000,1.000000000,0,0
49,1605370,1605370,1605370.000,1.000000000,0,0
50,1605124,1605124,1605124.000,1.000000000,0,0
51,1604880,1604880,1604880.000,1.000000000,0,0
52,1604670,1604670,1604670.000,1.000000000,0,0
53,1604471,1604471,1604471.000,1.000000000,0,0
54,1604292,1604292,1604292.000,1.000000000,0,0
55,1604161,1604161,1604161.000,1.000000000,0,0
56,1603999,1603999,1603999.000,1.000000000,0,0
57,1603854,1603854,1603854.000,1.000000000,0,0
58,1603752,1603752,1603752.000,1.000000000,0,0
59,1603655,1603655,1603655.000,1.000000000,0,0
60,1603563,1603563,1603563.000,1.000000000,0,0
61,1603497,1603497,1603497.000,1.000000000,0,0
62,1603445,1603445,1603445.000,1.000000000,0,0
63,1603419,1603419,1603419.000,1.000000000,0,0
64,1603360,1603360,1603360.000,1.000000000,0,0
65,1603320,1603320,1603320.000,1.000000000,0,0
66,1603288,1603288,1603288.000,1.000000000,0,0
67,1603239,1603239,1603239.000,1.000000000,0,0
68,1603211,1603211,1603211.000,1.000000000,0,0
69,1603188,1603188,1603188.000,1.000000000,0,0
70,1603155,1603155,1603155.000,1.000000000,0,0
71,1603142,1603142,1603142.000,1.000000000,0,0
72,1603134,1603134,1603134.000,1.000000000,0,0
73,1603110,1603110,1603110.000,1.000000000,0,0
74,1603095,1603095,1603095.000,1.000000000,0,0
75,1603085,1603085,1603085.000,1.000000000,0,0
76,1603071,1603071,1603071.000,1.000000000,0,0
77,1603053,1603053,1603053.000,1.000000000,0,0
78,1603039,1603039,1603039.000,1.000000000,0,0
79,1603031,1603031,1603031.000,1.000000000,0,0
80,1603027,1603027,1603027.000,1.000000000,0,0
81,1603023,1603023,1603023.000,1.000000000,0,0
82,1603020,1603020,1603020.000,1.000000000,0,0
83,1603017,1603017,1603017.000,1.000000000,0,0
84,1603018,1603018,1603018.000,1.000000000,0,0
85,1603013,1603013,1603013.000,1.000000000,0,0
86,1603010,1603010,1603010.000,1.000000000,0,0
87,1603008,1603008,1603008.000,1.000000000,0,0
88,1603004,1603004,1603004.000,1.000000000,0,0
89,1603004,1603004,1603004.000,1.000000000,0,0
90,1603001,1603001,1603001.000,1.000000000,0,0
91,1602998,1602998,1602998.000,1.000000000,0,0
92,1602997,1602997,1602997.000,1.000000000,0,0
93,1602995,1602995,1602995.000,1.000000000,0,0
94,1602993,1602993,1602993.000,1.000000000,0,0
95,1602995,1602995,1602995.000,1.000000000,0,0
96,1602992,1602992,1602992.000,1.000000000,0,0
97,1602988,1602988,1602988.000,1.000000000,0,0
98,1602985,1602985,1602985.000,1.000000000,0,0
99,1602985,1602985,1602985.000,1.000000000,0,0
100,1602983,1602983,1602983.000,1.000000000,0,0
101,1602985,1602985,1602985.000,1.000000000,0,0
102,1602984,1602984,1602984.000,1.000000000,0,0
103,1602984,1602984,1602984.000,1.000000000,0,0
104,1602982,1602982,1602982.000,1.000000000,0,0
105,1602982,1602982,1602982.000,1.000000000,0,0
106,1602982,1602982,1602982.000,1.000000000,0,0
107,1602982,1602982,1602982.000,1.000000000,0,0
108,1602982,1602982,1602982.000,1.000000000,0,0
109,1602981,1602981,1602981.000,1.000000000,0,0
110,1602980,1602980,1602980.000,1.000000000,0,0
111,1602978,1602978,1602978.000,1.000000000,0,0
112,1602978,1602978,1602978.000,1.000000000,0,0
113,1602978,1602978,1602978.000,1.000000000,0,0
114,1602978,1602978,1602978.000,1.000000000,0,0
115,1602978,1602978,1602978.000,1.000000000,0,0
116,1602978,1602978,1602978.000,1.000000000,0,0
117,1602978,1602978,1602978.000,1.000000000,0,0
118,1602978,1602978,1602978.000,1.000000000,0,0
119,1602978,1602978,1602978.000,1.000000000,0,0
120,1602978,1602978,1602978.000,1.000000000,0,0
121,1602978,1602978,1602978.000,1.000000000,0,0
122,1602978,1602978,1602978.000,1.000000000,0,0
123,1602978,1602978,1602978.000,1.000000000,0,0
124,1602978,1602978,1602978.000,1.000000000,0,0
125,1602978,1602978,1602978.000,1.000000000,0,0
126,1602978,1602978,1602978.000,1.000000000,0,0
127,1602978,1602978,1602978.000,1.000000000,0,0
128,1602978,1602978,1602978.000,1.000000000,0,0
129,1602978,1602978,1602978.000,1.000000000,0,0
130,1602978,1602978,1602978.000,1.000000000,0,0
131,1602978,1602978,1602978.000,1.000000000,0,0
132,1602978,1602978,1602978.000,1.000000000,0,0
133,1602978,1602978,1602978.000,1.000000000,0,0
134,1602978,1602978,1602978.000,1.000000000,0,0
135,1602978,1602978,1602978.000,1.000000000,0,0
136,1602978,1602978,1602978.000,1.000000000,0,0
137,1602978,1602978,1602978.000,1.000000000,0,0
138,1602978,1602978,1602978.000,1.000000000,0,0
139,1602978,1602978,1602978.000,1.000000000,0,0
140,1602978,1602978,1602978.000,1.000000000,0,0
141,1602978,1602978,1602978.000,1.000000000,0,0
142,1602978,1602978,1602978.000,1.000000000,0,0
143,1602978,1602978,1602978.000,1.000000000,0,0
144,1602978,1602978,1602978.000,1.000000000,0,0
145,1602978,1602978,1602978.000,1.000000000,0,0
146,1602978,1602978,1602978.000,1.000000000,0,0
147,1602978,1602978,1602978.000,1.000000000,0,0
148,1602978,1602978,1602978.000,1.000000000,0,0
149,1602978,1602978,1602978.000,1.000000000,0,0
150,1602978,1602978,1602978.000,1.000000000,0,0
151,1602978,1602978,1602978.000,1.000000000,0,0
152,1602978,1602978,1602978.000,1.000000000,0,0
153,1602978,1602978,1602978.000,1.000000000,0,0
154,1602978,1602978,1602978.000,1.000000000,0,0
155,1602978,1602978,1602978.000,1.000000000,0,0
156,1602978,1602978,1602978.000,1.000000000,0,0
157,1602978,1602978,1602978.000,1.000000000,0,0
158,1602978,1602978,1602978.000,1.000000000,0,0
159,1602978,1602978,1602978.000,1.000000000,0,0
160,1602978,1602978,1602978.000,1.000000000,0,0
161,1602978,1602978,1602978.000,1.000000000,0,0
162,1602978,1602978,1602978.000,1.000000000,0,0
163,1602978,1602978,1602978.000,1.000000000,0,0
164,1602978,1602978,1602978.000,1.000000000,0,0
165,1602978,1602978,1602978.000,1.000000000,0,0
166,1602978,1602978,1602978.000,1.000000000,0,0
167,1602978,1602978,1602978.000,1.000000000,0,0
168,1602978,1602978,1602978.000,1.000000000,0,0
169,1602978,1602978,1602978.000,1.000000000,0,0
170,1602978,1602978,1602978.000,1.000000000,0,0
171,1602978,1602978,1602978.000,1.000000000,0,0
172,1602978,1602978,1602978.000,1.000000000,0,0
173,1602978,1602978,1602978.000,1.000000000,0,0
174,1602978,1602978,1602978.000,1.000000000,0,0
175,1602978,1602978,1602978.000,1.000000000,0,0
176,1602978,1602978,1602978.000,1.000000000,0,0
177,1602978,1602978,1602978.000,1.000000000,0,0
178,1602978,1602978,1602978.000,1.000000000,0,0
179,1602978,1602978,1602978.000,1.000000000,0,0
180,1602978,1602978,1602978.000,1.000000000,0,0
181,1602978,1602978,1602978.000,1.000000000,0,0
182,1602978,1602978,1602978.000,1.000000000,0,0
183,1602978,1602978,1602978.000,1.000000000,0,0
184,1602978,1602978,1602978.000,1.000000000,0,0
185,1602978,1602978,1602978.000,1.000000000,0,0
186,1602978,1602978,1602978.000,1.000000000,0,0
187,1602978,1602978,1602978.000,1.000000000,0,0
188,1602978,1602978,1602978.000,1.000000000,0,0
189,1602978,1602978,1602978.000,1.000000000,0,0
190,1602978,1602978,1602978.000,1.000000000,0,0
191,1602978,1602978,1602978.000,1.000000000,0,0
192,1602978,1602978,1602978.000,1.000000000,0,0
193,1602978,1602978,1602978.000,1.000000000,0,0
194,1602978,1602978,1602978.000,1.000000000,0,0
195,1602978,1602978,1602978.000,1.000000000,0,0
196,1602978,1602978,1602978.000,1.000000000,0,0
197,1602978,1602978,1602978.000,1.000000000,0,0
198,1602978,1602978,1602978.000,1.000000000,0,0
199,1602978,1602978,1602978.000,1.000000000,0,0
200,1602978,1602978,1602978.000,1.000000000,0,0
201,1602978,1602978,1602978.000,1.000000000,0,0
202,1602978,1602978,1602978.000,1.000000000,0,0
203,1602978,1602978,1602978.000,1.000000000,0,0
204,1602978,1602978,1602978.000,1.000000000,0,0
