iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
73,101.252970195,1.736201694,2.075166899,97.146706652,0.085970621,0.203132539
74,52.803667540,1.720601956,2.076369157,48.702339723,0.092827098,0.205873633
75,72.844343917,1.742798270,2.075072583,68.731443631,0.086092172,0.203135083
76,39.194164156,1.718002333,2.078938698,35.102288138,0.085875350,0.203322842
77,77.949499029,1.722127324,2.076377501,73.856141741,0.086040829,0.203130125
78,77.890611300,1.723093536,2.076176358,73.796533979,0.085839088,0.203249407
79,201.952190811,1.719716181,2.075927995,197.861430147,0.086010844,0.203178055
80,514.257290034,1.729481554,2.077953405,510.154836390,0.086144489,0.203236496
81,4.083978115,1.732726881,2.075991227,0.068095310,0.017279748,0.184116947
82,4.084626098,1.731760339,2.078846920,0.067704084,0.017419378,0.182981362
83,4.099563264,1.741725964,2.083097355,0.070207617,0.017223569,0.182346420
84,247.396766337,1.718752202,2.075952079,243.307406912,0.086200857,0.203106430
85,104.703425814,1.723371053,2.075622463,100.609646167,0.085901215,0.203140893
86,247.556293382,1.721312793,2.078160599,243.461711859,0.086102332,0.203313896
87,4.070333274,1.716312520,2.080077972,0.068961219,0.017230631,0.182634094
88,4.074446587,1.725169190,2.075871050,0.067858149,0.017217011,0.183162106
89,496.936434544,1.723735769,2.078912538,492.838908681,0.086078461,0.203029641
90,4.096413889,1.746352318,2.077535082,0.067983472,0.017414104,0.182003436
91,509.231362781,1.729087372,2.079070494,505.127998499,0.086289781,0.203085821
92,509.581844339,1.720502749,2.076274461,505.490150706,0.085940987,0.203309031
93,4.076937371,1.723203722,2.079146059,0.069298537,0.016859115,0.182354853
94,4.075270114,1.722725755,2.079377538,0.067801232,0.017295568,0.182384413
95,4.115859050,1.764664795,2.076729708,0.070304694,0.016720398,0.182328588
96,517.639507746,1.747109410,2.076364763,513.521062149,0.085845780,0.203276245
97,535.383400132,1.737362928,2.076399580,531.274185803,0.086125948,0.203196008
98,510.495652523,1.729139259,2.075328763,506.396148439,0.086070157,0.203038717
99,4.081425378,1.729313907,2.077638375,0.067491483,0.017256048,0.184283556
100,4.077411872,1.725826660,2.078617116,0.067800755,0.017339245,0.182157063
101,4.099653387,1.747274497,2.078442634,0.069248907,0.016943959,0.182024930
102,4.072867229,1.719125404,2.077110474,0.071422155,0.016801719,0.182571687
103,4.067698300,1.716282717,2.076902597,0.069809557,0.016984336,0.182170118
104,4.083592653,1.731839930,2.079177595,0.067591124,0.017089276,0.182203989
105,4.078736799,1.727555884,2.075582182,0.067697636,0.017331050,0.184830969
106,4.080945795,1.731228789,2.076574483,0.068257132,0.016941357,0.182455820
107,4.071615210,1.719942868,2.079223976,0.068506248,0.016940623,0.182024994
108,4.078429357,1.728551440,2.075574795,0.069726754,0.016906913,0.182051002
109,526.510872399,1.736385515,2.079277079,522.400060927,0.086390810,0.202873322
110,526.861796932,1.728075571,2.075324016,522.762718780,0.086379099,0.203222760
111,4.074305168,1.724696678,2.076690589,0.067610771,0.017048038,0.182259917
112,4.071501604,1.722727140,2.076266185,0.067839606,0.016782173,0.182221141
113,4.072435155,1.719770659,2.079074853,0.069075970,0.016657019,0.182499309
114,4.070946281,1.717494597,2.076453430,0.071808017,0.016856218,0.182831409
115,4.068622254,1.716856681,2.078950897,0.067603941,0.017362443,0.182539451
116,4.080135157,1.726147266,2.076385823,0.067835186,0.017449401,0.186662394
117,4.084554520,1.733529235,2.076485866,0.070222521,0.016646952,0.182417212
118,4.069612790,1.718335903,2.076038957,0.067920378,0.016931927,0.183701847
119,4.081442748,1.726785094,2.078541059,0.071705618,0.016815158,0.182343749
120,4.068387822,1.719197469,2.076372206,0.067846561,0.016968322,0.182655290
121,4.062979481,1.711669008,2.076278431,0.069966725,0.016857930,0.182394658
122,4.071737249,1.722632636,2.074974772,0.069033710,0.016939403,0.182514399
123,4.087603519,1.735475138,2.076918399,0.070213996,0.016815879,0.182791976
124,4.075215595,1.724780927,2.075911649,0.070042056,0.016779178,0.182570879
125,4.063937552,1.714970213,2.075933145,0.067987234,0.016697985,0.182502724
126,4.073903566,1.720916944,2.078787696,0.067817947,0.017293033,0.183971947
127,4.085526611,1.729393749,2.078038412,0.067602262,0.017361501,0.187548903
