iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
1,105.754180504,2.129572695,2.256011937,100.940992203,0.128953698,0.295787779
2,42.420888011,2.192700862,2.207773312,37.639304338,0.111339415,0.263931316
3,22.941658129,2.228194442,2.156157114,18.196909338,0.104691604,0.249712326
4,15.444294528,2.262371975,2.121925537,10.715263011,0.099656444,0.239012022
5,11.817231764,2.297953378,2.104065901,7.079768270,0.097071592,0.231668833
6,9.875089963,2.330748441,2.094806588,5.122148331,0.094927075,0.226621811
7,8.744891134,2.364085774,2.082861660,3.974287615,0.093620708,0.223615871
8,8.028610903,2.395547424,2.075261222,3.238162030,0.092556037,0.220842300
9,7.569608787,2.424314137,2.073069813,2.755970496,0.091671755,0.218823947
10,7.240490489,2.447177164,2.069473180,2.407301211,0.091127536,0.219200299
11,7.006712574,2.470800700,2.067247697,2.155505388,0.090351538,0.216784104
12,6.824648886,2.493755802,2.065133127,1.953213726,0.090035417,0.216475586
13,6.715351766,2.514396164,2.063938843,1.827193037,0.090052081,0.214083683
14,6.595023023,2.530090901,2.062686977,1.694173805,0.089084867,0.213149660
15,6.500847459,2.548538614,2.063037909,1.582160509,0.088688562,0.212562833
16,6.448052107,2.564180909,2.062138403,1.514102247,0.088547163,0.212966265
17,6.398077369,2.582411458,2.064419560,1.446402372,0.088215587,0.210711412
18,6.354816147,2.597983428,2.065252461,1.385648068,0.088010822,0.211937302
19,6.329830181,2.613006170,2.066205682,1.344631001,0.087667821,0.212412627
20,6.256168694,2.624240124,2.067014869,1.261853554,0.087650362,0.209202636
21,6.227988348,2.637423243,2.066630708,1.220474020,0.087360176,0.209999655
22,6.173409834,2.650071833,2.066037484,1.156705133,0.087159936,0.207629158
23,6.158938046,2.655460458,2.066636113,1.136354324,0.087206985,0.207190509
24,6.105939561,2.668625220,2.068930726,1.069450479,0.086824277,0.206270103
25,6.081547829,2.674159966,2.069521760,1.039392653,0.086830697,0.206385315
26,6.038224623,2.680857447,2.067814181,0.991855195,0.086677399,0.205543926
27,6.007287769,2.685247466,2.068251679,0.955778556,0.086967669,0.205036018
28,5.969298137,2.691049145,2.068230312,0.913120987,0.086546343,0.204704374
29,5.981944315,2.696981643,2.069182782,0.918930864,0.086575948,0.204619374
30,5.982016879,2.702778465,2.070359416,0.912546329,0.086344348,0.204135468
31,6.006039572,2.709310101,2.068472487,0.931991121,0.086520243,0.204009047
32,6.019545517,2.708572167,2.067892166,0.946632177,0.086461775,0.203924178
33,6.037339029,2.713263420,2.068909554,0.960181454,0.086172916,0.203685830
34,6.061953211,2.716162489,2.070386023,0.979609983,0.086498449,0.203578651
35,6.069357983,2.716851774,2.068271757,0.988587919,0.086557408,0.203323547
36,6.111378279,2.720366008,2.068033657,1.027092604,0.086419961,0.203336135
37,6.216242681,2.721823980,2.068052482,1.130503796,0.086411797,0.203376462
38,6.314921973,2.723758224,2.069022934,1.226264913,0.086621718,0.203014056
39,6.550778686,2.726179761,2.068720671,1.460364583,0.086399190,0.202990741
40,6.660196707,2.728963235,2.070489586,1.565380608,0.086030143,0.203382556
41,6.413933702,2.730326696,2.070311692,1.318519364,0.086240201,0.202779363
42,6.493379462,2.734659358,2.069579324,1.393875034,0.086080902,0.203258937
43,6.962744020,2.735799488,2.068358289,1.863688315,0.086261048,0.202637025
44,7.206285843,2.730976922,2.068680251,2.111297950,0.086240432,0.202736908
45,7.832421615,2.734136338,2.069049359,2.734371315,0.086237209,0.202821531
46,8.109087327,2.733024266,2.069188849,3.011823948,0.086360466,0.202552720
47,8.121848816,2.733606323,2.069205195,3.024681146,0.086256450,0.202923141
48,7.703023544,2.736016486,2.071034706,2.601272886,0.086266594,0.202588836
49,9.987828237,2.736177180,2.069076445,4.887762837,0.086328489,0.202732794
