iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
1,44.235255375,2.158535898,2.273358798,39.110373833,0.462785318,0.298646443
2,20.075715598,2.203741072,2.205859419,15.029122833,0.385369108,0.268049751
3,12.611004020,2.246499346,2.155201594,7.584523507,0.400367401,0.254083625
4,9.354793785,2.280081298,2.123345944,4.340322943,0.381411914,0.243388213
5,7.861662279,2.307531310,2.105182951,2.851229842,0.394726011,0.234542182
6,7.064575889,2.329929169,2.091881184,2.046129628,0.369519801,0.230110587
7,6.603982273,2.345507128,2.082928742,1.582702088,0.366107332,0.226633343
8,6.315422621,2.360644335,2.077176489,1.288496616,0.364493675,0.224738846
9,6.132992970,2.371724881,2.072155781,1.103491850,0.374584972,0.222233834
10,5.987176998,2.385639702,2.070513967,0.957036310,0.354716433,0.220663914
11,5.896037046,2.395462824,2.067124209,0.859482908,0.356414999,0.219312500
12,5.828978810,2.406780536,2.066375732,0.781762864,0.363525772,0.220170152
13,5.769991663,2.413171387,2.064698238,0.721664207,0.348916246,0.217953636
14,5.734046278,2.418794868,2.063816969,0.672944702,0.365505573,0.216079943
15,5.698990885,2.427300562,2.063241301,0.630808316,0.367606619,0.215011922
16,5.676712994,2.428930424,2.063517740,0.609390084,0.375140073,0.214360904
17,5.644039140,2.431968463,2.067524910,0.579551023,0.355974631,0.213755609
18,5.625147137,2.443049407,2.065249574,0.552890116,0.353172740,0.212871368
19,5.625757346,2.447468719,2.065767684,0.536729082,0.362920306,0.212369927
20,5.595754319,2.452189254,2.066392418,0.505179778,0.363046207,0.211651425
21,5.584268328,2.455256554,2.071212348,0.485759705,0.360055850,0.210708732
22,5.554080744,2.459161809,2.067836802,0.465419820,0.357911672,0.210343289
23,5.567581386,2.470202112,2.069124026,0.458793738,0.366279877,0.209864360
24,5.521906213,2.465526172,2.067799521,0.427271164,0.346072038,0.209083585
25,5.517162744,2.468220468,2.069505399,0.419887355,0.349184255,0.208357499
26,5.507616041,2.471701669,2.069269219,0.408068528,0.359379012,0.207870000
27,5.503326761,2.473524255,2.069889604,0.393664747,0.365355915,0.207450933
28,5.483980429,2.479025302,2.070135308,0.377459968,0.357034417,0.207242862
29,5.492137260,2.478604548,2.070672446,0.385942990,0.358807780,0.207366871
30,5.487463277,2.475515002,2.069180539,0.384395895,0.356895196,0.206750316
31,5.498479359,2.480794140,2.069642036,0.391424249,0.345825648,0.206503063
32,5.521425100,2.477915392,2.069646918,0.417618428,0.380029173,0.206244012
33,5.550578693,2.483704723,2.069795469,0.432548919,0.407392167,0.206277735
