iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
1,55.815019383,2.466113450,2.254866272,50.405695678,0.552818521,0.299093466
2,24.178950679,2.494217054,2.206458876,18.839090757,0.487831997,0.266112973
3,14.448154009,2.510697698,2.158593305,9.155507924,0.379846867,0.251968615
4,10.669845006,2.537427145,2.125043803,5.404166312,0.389407370,0.241990647
5,8.827331051,2.544658127,2.104583353,3.583628613,0.356686542,0.233859017
6,7.871014819,2.568111809,2.094695643,2.613819011,0.366450402,0.229199286
7,7.289044345,2.583769003,2.084482962,2.039416687,0.353534096,0.225679888
8,6.934640609,2.601256651,2.076873710,1.679126358,0.363465595,0.223398175
9,6.712742206,2.615389709,2.072670419,1.441898758,0.375292370,0.221357843
10,6.536167360,2.629046407,2.069618127,1.263248310,0.359266855,0.221051182
11,6.429946093,2.641797174,2.067362044,1.140814309,0.373266792,0.218391927
12,6.337551227,2.650800473,2.065877900,1.041991125,0.376211781,0.218582692
13,6.270714668,2.660714771,2.064831142,0.967641615,0.359968477,0.216182079
14,6.209152507,2.661378298,2.065471533,0.906088397,0.364542895,0.215812987
15,6.170579334,2.678045971,2.064233271,0.851581084,0.368016058,0.214367502
16,6.138308086,2.675356407,2.063671636,0.825924460,0.380462211,0.213898135
17,6.109809730,2.684416650,2.064922646,0.785444664,0.369824575,0.213147958
18,6.092204808,2.702680930,2.065003932,0.750172359,0.360237472,0.212264391
19,6.076312784,2.706218692,2.065862516,0.730289437,0.361584572,0.211827327
20,6.049422067,2.718674255,2.066815828,0.692114271,0.366570738,0.211364345
21,6.020169621,2.720909712,2.067205257,0.669474951,0.352262450,0.210952715
22,5.999126870,2.728088066,2.067404982,0.643661937,0.364744098,0.210065226
23,6.003182532,2.736068583,2.070243337,0.630199244,0.366899480,0.209457090
24,5.953127526,2.733690495,2.069186538,0.591759922,0.347417097,0.208579267
25,5.934704823,2.727317363,2.069568867,0.577793410,0.350741515,0.208222357
26,5.930764349,2.740584815,2.070145780,0.561673942,0.364574129,0.207736345
27,5.915262572,2.746114862,2.069971316,0.542182319,0.361855712,0.207195695
28,5.896319527,2.747979019,2.070297981,0.520781143,0.361119440,0.207083654
