iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
1,43.292220390,0.958701758,2.258480933,39.644269971,0.129220820,0.298412053
2,18.864371630,1.031035136,2.208986093,15.238764977,0.112181422,0.266722611
3,11.422452694,1.102248778,2.157147433,7.798353146,0.105239029,0.252705940
4,8.358801403,1.156054490,2.122765423,4.734379299,0.099958602,0.239500047
5,6.731294307,1.193684717,2.102943190,3.097116211,0.097218895,0.233783469
6,5.819719600,1.222260270,2.091882105,2.175733215,0.095768333,0.228160222
7,5.305044464,1.241096942,2.082945460,1.657456970,0.093799321,0.223363488
8,5.002165748,1.260082743,2.075460887,1.344220099,0.092886506,0.222816435
9,4.805125825,1.277166656,2.071377262,1.138979463,0.092023926,0.219271611
10,4.656292204,1.290319446,2.068043542,0.981491282,0.091286939,0.218706046
11,4.569597116,1.302761836,2.065602477,0.887750477,0.090828885,0.216627353
12,4.493431593,1.310539006,2.063771842,0.805843880,0.090197200,0.216909373
13,4.444079361,1.324323937,2.063460259,0.742582182,0.089966502,0.218117631
14,4.395563093,1.334505725,2.063314111,0.687657781,0.089060026,0.215081413
15,4.361586281,1.345730293,2.063586927,0.641934583,0.089063054,0.214666649
16,4.337161722,1.348609108,2.062821733,0.618685436,0.088426813,0.212565710
17,4.310598440,1.354733876,2.063249049,0.584150648,0.088342097,0.213794226
18,4.289863156,1.361191689,2.063740851,0.559919006,0.088153710,0.210717053
19,4.280832450,1.368476809,2.064676928,0.541464240,0.087979018,0.212263593
20,4.252141087,1.371712318,2.065524743,0.509908049,0.087893083,0.211154949
21,4.239363520,1.376960963,2.066266885,0.491958437,0.087554505,0.210705300
22,4.223038853,1.381472125,2.066800283,0.470703251,0.087311738,0.210714955
23,4.211822126,1.381576129,2.067583469,0.461487116,0.087261795,0.208774815
24,4.189537156,1.388726484,2.067387563,0.432559356,0.086774627,0.208756805
25,4.181506568,1.391003500,2.068118825,0.422008011,0.087091311,0.207092204
26,4.173379579,1.394575331,2.068476818,0.409956487,0.086727573,0.207720802
27,4.169750662,1.403069611,2.070261030,0.396670338,0.087466704,0.206472791
28,4.142389781,1.395433776,2.068633047,0.380676605,0.086887675,0.205342390
29,4.153709255,1.397577475,2.068801353,0.388172026,0.086661367,0.206275524
30,4.152591529,1.399692799,2.068775044,0.386450446,0.086852929,0.204772085
31,4.158931379,1.399800976,2.069323373,0.392488138,0.086674519,0.204447493
32,4.192933621,1.407245337,2.068355548,0.419181814,0.086827612,0.205399401
33,4.202749284,1.403214703,2.068788422,0.433931417,0.086647612,0.204266153
34,4.217455857,1.402857221,2.068878417,0.449413481,0.087371742,0.204283041
35,4.203487327,1.408151725,2.068921476,0.429913780,0.086266302,0.204527143
36,4.249982975,1.406445180,2.069302918,0.477485192,0.086501008,0.204100667
37,4.275926945,1.409620815,2.068945376,0.500153393,0.086767598,0.204468083
38,4.350108705,1.406815116,2.069081976,0.578475384,0.086389106,0.203354222
39,4.460209651,1.407621188,2.069695652,0.686003765,0.086478107,0.203868422
40,4.616166290,1.410663771,2.069385265,0.840534407,0.086632394,0.203049591
41,4.388152515,1.409404558,2.069300703,0.614116966,0.086959413,0.203723536
42,4.439611058,1.410465076,2.069579556,0.663948479,0.086407702,0.203551135
43,4.684623433,1.414587478,2.069486825,0.904608804,0.086332093,0.203497714
44,4.779867785,1.410869091,2.070227433,1.002269244,0.086760331,0.203342899
45,5.250702765,1.413628771,2.071863545,1.469849038,0.086998498,0.203262526
46,5.572788104,1.410852348,2.069755903,1.796638898,0.086481683,0.203196715
47,5.573902127,1.412685314,2.070493006,1.794469872,0.086606447,0.202949138
48,5.188090772,1.412731517,2.070007834,1.410116238,0.086443652,0.202797433
49,6.910219726,1.413313461,2.070391764,3.130269760,0.086541787,0.203359477
50,6.197640055,1.416444455,2.070311294,2.415053917,0.086627690,0.203149033
51,7.890673543,1.414067745,2.070532932,4.109908870,0.086389095,0.203354690
52,6.423700708,1.416106574,2.070202350,2.641717197,0.087171054,0.202995772
53,6.132681575,1.411650107,2.071184805,2.354788385,0.086208509,0.202996365
54,8.238569283,1.412011506,2.071954958,4.458848974,0.086540097,0.202732142
55,8.650850409,1.417030720,2.071355051,4.867009261,0.086524311,0.202850853
56,7.709683300,1.413389549,2.070804904,3.929499135,0.086424980,0.203407435
57,8.440549105,1.414082246,2.070820505,4.660232460,0.086489143,0.202755066
58,9.682043307,1.412830563,2.072001187,5.901071424,0.086559255,0.203340440
59,12.294697822,1.414275762,2.071985038,8.513013951,0.086584273,0.202767649
60,11.270118105,1.412813994,2.071993933,7.488810049,0.086734099,0.203567379
61,15.021835590,1.412729950,2.072027498,11.240977925,0.086525473,0.203382328
62,13.231391222,1.412612403,2.072108781,9.450316981,0.087099327,0.203350242
63,76.476127253,1.417469389,2.072517382,72.690639859,0.086628645,0.203120247
64,14.982852520,1.415566495,2.072749988,11.197760424,0.087178228,0.203503946
