iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
1,55.802791000,2.386696853,2.251993624,50.470534731,0.433535996,0.298624699
2,24.109905047,2.415980573,2.205221651,18.846074338,0.400738073,0.271434330
3,14.359976017,2.444047907,2.153808635,9.131971967,0.373148823,0.254249095
4,10.581194181,2.459839333,2.122306561,5.387680096,0.422328698,0.243257917
5,8.733941279,2.479297518,2.103841995,3.552193236,0.367917675,0.237460622
6,7.756881324,2.498851285,2.091861714,2.576516898,0.362591623,0.230377595
7,7.177417626,2.508206056,2.083689774,1.995752467,0.356564427,0.228340574
8,6.827656682,2.536791628,2.076911737,1.632987425,0.361760486,0.224485137
9,6.594618296,2.538235370,2.071638539,1.396496380,0.370187315,0.224539187
10,6.430123558,2.558460669,2.069230852,1.215759414,0.366773832,0.222366613
11,6.311577067,2.575575837,2.066329361,1.093601385,0.364041735,0.222278592
12,6.224230732,2.584828949,2.068287729,0.996070579,0.370452401,0.220813598
13,6.153111781,2.596200522,2.063371977,0.919624229,0.350684749,0.219963184
14,6.121318015,2.598968842,2.078986079,0.856619426,0.362290781,0.223187085
15,6.087689829,2.622331311,2.079328490,0.801234042,0.363883751,0.221199344
16,6.069055856,2.632510966,2.079567277,0.775896491,0.378117379,0.220627735
17,6.035165781,2.640042454,2.079827285,0.734712217,0.366423847,0.219262885
18,6.002501817,2.648514027,2.080906957,0.705055494,0.353237844,0.215043751
19,5.966406044,2.645498579,2.065900655,0.680443271,0.362567590,0.213564567
20,5.927179926,2.646508553,2.065776039,0.641464773,0.367630547,0.212888195
21,5.907256108,2.659744073,2.067240315,0.617691541,0.352422423,0.210670219
22,5.883596748,2.664445177,2.067305780,0.590125671,0.363200955,0.210103271
23,5.891574836,2.669143597,2.070127748,0.580481174,0.370510970,0.211914107
24,5.831169055,2.663014306,2.068692606,0.538938705,0.347071674,0.209410663
25,5.836142931,2.678209735,2.069945027,0.524650150,0.349999733,0.210929225
26,5.823698944,2.682257491,2.069044028,0.511611656,0.366699577,0.209854785
27,5.805158135,2.684154564,2.068818582,0.491667718,0.364096485,0.209396481
28,5.785265364,2.686851413,2.069329184,0.469679209,0.362774666,0.208345838
29,5.788457432,2.679028493,2.069839584,0.470225566,0.370212427,0.208905682
30,5.789886512,2.691942013,2.071053039,0.467841520,0.360613299,0.207817676
31,5.791761005,2.694630104,2.069584303,0.470773975,0.348783242,0.206377690
32,5.810289233,2.687893017,2.069860446,0.494633154,0.380604352,0.207034376
33,5.845262848,2.696140593,2.069646808,0.513859661,0.411746210,0.207466339
34,5.863037643,2.700518012,2.069458813,0.526364546,0.418558849,0.207028591
35,5.839936445,2.702049902,2.069470044,0.500361245,0.363491704,0.205878096
36,5.886776365,2.702908428,2.070585048,0.546740107,0.415969304,0.206858227
37,5.909194635,2.707699578,2.070519832,0.573553137,0.354668008,0.206794677
38,5.989749007,2.705384648,2.069499183,0.651206537,0.424175914,0.205951554
39,6.083943032,2.704022033,2.070506119,0.751767323,0.384612517,0.206922113
40,6.246973488,2.706757343,2.069486988,0.911078818,0.594892274,0.205240390
41,6.011184326,2.705077784,2.070156634,0.678662464,0.379620863,0.206489170
42,6.075942009,2.708433205,2.070449104,0.727234250,0.413993749,0.206221452
43,6.326190272,2.709006529,2.070437165,0.976085670,0.441979519,0.206089938
44,6.402292974,2.707660795,2.070520255,1.068176355,0.365303645,0.205493185
45,6.883823386,2.707313729,2.070242378,1.548424930,0.706789073,0.205191489
