configuracion,procesos,threads,recursos,repeticiones,medianaSegundos,minimoSegundos,maximoSegundos,desviacionSegundos,speedup,eficiencia,desbalanceMedio,bytesComunicados,solicitudesRemotas,preparacionSegundos,indicesSegundos,busquedaSegundos,comunicacionSegundos,consolidacionSegundos,hash
secuencial,1,1,1,5,3.672202093,3.631277758,5.979381554,0.922644251,1.000000,1.000000,1.000000,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,4eac656015050f40
mpi1_omp1,1,1,1,5,3.706391462,3.652459390,3.895898268,0.091045917,0.990776,0.990776,1.000000,0,0,0.114836186,0.075809875,3.491688048,0.004419043,0.017376195,4eac656015050f40
mpi1_omp2,1,2,2,5,1.870013361,1.789604058,1.940496976,0.050843911,1.963730,0.981865,1.000000,0,0,0.068138219,0.077785184,1.704340213,0.004782209,0.016875776,4eac656015050f40
mpi1_omp4,1,4,4,5,1.890123315,1.851723318,1.921748949,0.022666486,1.942837,0.485709,1.000000,0,0,0.070035725,0.079179507,1.716896633,0.004519346,0.016907432,4eac656015050f40
mpi2_omp2,2,2,4,5,1.876407697,1.827954136,1.959136889,0.056758928,1.957038,0.489260,1.002370,23218792,4373,0.074338159,0.086920798,1.689291969,0.061250095,0.019800029,4eac656015050f40
mpi2_omp4,2,4,8,5,1.090935265,1.047368121,1.109675228,0.021146343,3.366104,0.420763,1.002370,23218792,4373,0.056555505,0.085869277,0.905734347,0.040988199,0.019223754,4eac656015050f40
