iteracion,segundos,preparacion,indices,busqueda,comunicacion,consolidacion
1,105.054381050,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,41.792219067,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3,22.357125612,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
4,14.898429254,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
5,11.253967797,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
6,9.305833594,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
7,8.178287034,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
8,7.464830810,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
9,7.058252751,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
10,6.679570270,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
11,6.443837313,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
12,6.264258687,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
13,6.152961107,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
14,6.042453383,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
15,6.007300804,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
16,5.898651115,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
17,5.844443988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
18,5.801041347,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
19,5.770605141,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
20,5.699920482,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
21,5.680526148,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
22,5.658178456,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
23,5.610635559,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
24,5.561466980,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
25,5.530363218,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
26,5.490709521,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
27,5.462507710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
28,5.432322341,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
29,5.456868235,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
30,5.436500195,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
31,5.456623229,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
32,5.475792540,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
33,5.490801139,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
34,5.520058990,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
35,5.535122560,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
36,5.638016209,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
37,5.680729854,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
38,5.773194722,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
39,6.013997250,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
40,6.119622423,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
41,5.879818755,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
42,5.943633589,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
43,6.414508728,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
