configuracion,procesos,threads,recursos,repeticiones,medianaSegundos,minimoSegundos,maximoSegundos,desviacionSegundos,speedup,eficiencia,desbalanceMedio,bytesComunicados,solicitudesRemotas,preparacionSegundos,indicesSegundos,busquedaSegundos,comunicacionSegundos,consolidacionSegundos,hash
secuencial,1,1,1,1,13761.982797801,13761.982797801,13761.982797801,0.000000000,1.000000,1.000000,1.000000,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6b39928d840ed346
mpi1_omp1,1,1,1,1,13889.969442826,13889.969442826,13889.969442826,0.000000000,0.990786,0.990786,1.000000,0,0,650.868199148,497.747621435,12683.477751562,10.548582897,45.994961842,6b39928d840ed346
mpi1_omp2,1,2,2,1,7981.231623497,7981.231623497,7981.231623497,0.000000000,1.724293,0.862147,1.000000,0,0,408.754345375,498.915208756,7015.320185845,10.529267452,46.377134445,6b39928d840ed346
mpi1_omp4,1,4,4,1,7572.458025587,7572.458025587,7572.458025587,0.000000000,1.817373,0.454343,1.000000,0,0,336.036777847,497.755586456,6680.513848495,10.632600313,46.108089377,6b39928d840ed346
mpi2_omp1,2,1,2,1,8338.180270973,8338.180270973,8338.180270973,0.000000000,1.650478,0.825239,1.000132,83234181120,20848485,665.117107720,498.725484070,7052.647188005,1419.524725568,46.630191854,6b39928d840ed346
mpi2_omp2,2,2,4,1,8263.275799065,8263.275799065,8263.275799065,0.000000000,1.665439,0.416360,1.000132,83234181120,20848485,649.179292230,498.301745335,6993.007005310,1369.084178782,46.839410570,6b39928d840ed346
mpi2_omp4,2,4,8,1,7901.159304432,7901.159304432,7901.159304432,0.000000000,1.741768,0.217721,1.000132,83234181120,20848485,606.609456904,502.802266191,6668.993907485,1332.609736519,47.109796876,6b39928d840ed346
